Unnamed: 0,full_text,sentiment
0,"TRANS7: trans7club: Tahun 2023 Indonesia akan mengalami resesi Tapi sebelumnya, resesi tuh apa sih Apa dampaknya untuk perekonomian Indonesia Kemudian, sebagai masyarakat biasa apa yang harus dilakukan untuk mengantisipasi resesi ini Tonton sele ",neutral
1," Yg resesi itu beberapa negara Eropa, Amerika, Afrika yg lahan pertaniannya kecil. Indonesia, China, Turki dampaknya tidak berat.",positive
2,"2023 resesi Iya ataupun ngga, gw mw ksih tips dari segi calon nasabah atau nasabah unit link. Langkah2 apa aja yg hrs dilakukan just in case resesi berdampak parah ke Indonesia.",neutral
3," Badai,resesi,rawan pangan,juga gelap jika di indonesia insya Allah bisa ditunda bahkan dihindari. Allah melaknat org-org yg berputus asa dan bisa terjerumus kedalam neraka jahanam.",positive
4,"Potensi Ekonomi Digital USD 436 Miliar, Indonesia dari Bisa Lolos Jerat Resesi ",positive
5," Alah beban negara wkwkwk. The real penjaga benteng Negara ya UMKM yang mempertahankan ekonomi Indonesia dari resesi. Abdi negara ya UMKM mereka tidak dibayar negara, justru membiayai negara lewat pajak kadang negara gak melindungi mereka dari preman. berseragam mah beban APBN",neutral
6,"Dunia saat ini menghadapi resesi, inflasi tinggi dan pertumbuhan ekonomi menurun. Namun kita harus berbangga hati pada semangat UMKM & para entrepreneur yang luar biasa, karena mereka Indonesia masih eksis. Pertumbuhan ekonomi kita masih bagus."" ujar Moeldoko.  ",positive
7," Pak said, perkenalkan saya Himawan dari RFS FM Solo. Pengen wawancara pak said hari ini jam 8.15 wib tentang nasib Indonesia saat resesi 2023. Ada nomer kontak yg bisa dihubungi ",neutral
8,no salty sbt! katanya tahun depan indonesia bakal mengalami resesi ya jadi kepikiran mau rest...,neutral
9," RI dari resesi dunia itu bukan China!, menurut saya, Malaikat itu adalah rakyat Indonesia sendiri, yang sudah lelah berjuang dan berusaha tanpa bantuan nyata dari negara. Terungkap! Ada 'Malaikat' yang Bisa Selamatkan RI Dari Resesi ",positive
10,"Tahun 2023 katanya akan ada resesi, kalian percaya tidak .. Menurutku jika tahun depan masih ada orang yg mengadakan resepsi, maka percayalah Indonesia masih jauh dari kata resesi. Asal ada rendang aku bahagia.. ",positive
11,"BI Optimistis Indonesia Tidak Akan Resesi, Ini Alasannya ",positive
12,"Kabar Baik & Gembira dari Bank Indonesia, bahwa Indonesia Tak Akan Sampai Resesi di 2023... ...    ",positive
13,"Bank Indonesia Bawa Kabar Baik, Indonesia Tak Akan Kena Resesi! ",positive
14,Percaya perekonomian Indonesia kuat hadapi resesi! ,positive
15, Apa yang akan kamu lakukan jika resesi 2023 berdampak ke Indonesia ,neutral
16,"Habis diwejangi JK langsung beritanya baik2 terus Tapi...... 97 - 98 dulu kita juga dikabarkan baik2 terus sampai akhirnya mendadak nyungsep lebih parah dibanding negara lain Kabar Baik dari BI, Indonesia Tak Akan Sampai Resesi ",negative
17,"Menteri Koordinator (Menko) Bidang Perekonomian Airlangga Hartarto masih optimis ekonomi Indonesia tetap cerah tahun depan meski ada potensi resesi ekonomi global. Jadi tahun depan, Indonesia cukup optimis,"" katanya.""",positive
18,"Februari apa karena aku sering spam kolom komen IG nya jeff 'COME TO INDONESIA' makanya abang satu ini memutuskan datang ke indonesia tahun depan indonesia resesi bang, uang adek belum ada. jangan mahal-mahal ya tiketnya. jangan kayak tiket bts ",negative
19,"Halo sahabat eduNitas, Pemerintah Indonesia melalui Kementerian Keuangan telah mengumumkan bahwa tahun 2023 ekonomi Indonesia akan menghadapi resesi. Di situasi yang sulit nanti Ada lho berbagai tips sukses agar kamu bisa menghadapi ancaman resesi ini, Yuk terapkan berikut ini.. ",neutral
