,full_text,sentiment
0,"TRANS7: RT @trans7club: Tahun 2023 Indonesia akan mengalami resesi? Tapi sebelumnya, resesi tuh apa sih? Apa dampaknya untuk perekonomian Indonesia? Kemudian, sebagai masyarakat biasa apa yang harus dilakukan untuk mengantisipasi resesi ini?\n\nTonton seleâ€¦ https://t.co/qPWLX5wE8l",neutral
1,"@OposisiCerdas Yg resesi itu beberapa negara Eropa, Amerika, Afrika yg lahan pertaniannya kecil. Indonesia, China, Turki dampaknya tidak berat.",positive
2,"2023 resesi? Iya ataupun ngga, gw mw ksih tips dari segi calon nasabah atau nasabah unit link. \n\nLangkah2 apa aja yg hrs dilakukan just in case resesi berdampak parah ke Indonesia.",neutral
3,"@DokterTifa Badai,resesi,rawan pangan,juga gelap jika di indonesia insya Allah bisa ditunda bahkan dihindari.\n\nAllah melaknat org-org yg berputus asa dan bisa terjerumus kedalam neraka jahanam.",positive
4,"Potensi Ekonomi Digital USD 436 Miliar, Indonesia dari Bisa Lolos Jerat Resesi https://t.co/BTmEXUtIM8",positive
5,"@txtdrberseragam Alah beban negara wkwkwk. The real penjaga benteng Negara ya UMKM yang mempertahankan ekonomi Indonesia dari resesi. Abdi negara ya UMKM mereka tidak dibayar negara, justru membiayai negara lewat pajak kadang negara gak melindungi mereka dari preman.  berseragam mah beban APBN",neutral
6,"Dunia saat ini menghadapi resesi, inflasi tinggi dan pertumbuhan ekonomi menurun. Namun kita harus berbangga hati pada semangat UMKM & para entrepreneur yang luar biasa, karena mereka Indonesia masih eksis. Pertumbuhan ekonomi kita masih bagus."" ujar Moeldoko.\n\n#UMKMBangkit #KSP""",positive
7,"@msaid_didu Pak said, perkenalkan saya Himawan dari RFS FM Solo. Pengen wawancara pak said hari ini jam 8.15 wib tentang nasib Indonesia saat resesi 2023. Ada nomer kontak yg bisa dihubungi??",neutral
8,no salty sbt! katanya tahun depan indonesia bakal mengalami resesi ya? jadi kepikiran mau rest...,neutral
9,"#Malaikatpenyelamat RI dari resesi dunia itu bukan China!, menurut saya,\nMalaikat itu adalah rakyat Indonesia sendiri, yang sudah lelah berjuang dan berusaha tanpa bantuan nyata dari negara.\n\nâ˜•\nTerungkap! Ada 'Malaikat' yang Bisa Selamatkan RI Dari Resesi https://t.co/WqAs2b36Hf",positive
